"","description","NUTS_ID","area_total","LEVL_CODE","CNTR_CODE","NAME_LATN","NUTS_NAME","MOUNT_TYPE","URBN_TYPE","COAST_TYPE","FID"
"1","Coasta salth marshes","DE50",3652868.83345,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"2","Coasta salth marshes","DE60",2651139.98,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"3","Coasta salth marshes","DE80",3679832.9997,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"4","Coasta salth marshes","DE93",28754607.2742,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"5","Coasta salth marshes","DE94",80496416.970899,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"6","Coasta salth marshes","DEF0",139985554.0166,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"7","Inland marshes","DE11",1697601.10055,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"8","Inland marshes","DE12",4142994.8631,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"9","Inland marshes","DE13",10453547.2264,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"10","Inland marshes","DE14",12189860.297,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"11","Inland marshes","DE21",15144023.00815,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"12","Inland marshes","DE22",2013734.2239001,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"13","Inland marshes","DE23",3643598.2529499,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"14","Inland marshes","DE24",743621.81095,2,"DE","Oberfranken","Oberfranken",0,NA,0,"DE24"
"15","Inland marshes","DE25",1550294.3697,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"16","Inland marshes","DE26",673789.8045,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"17","Inland marshes","DE27",9504947.3182,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"18","Inland marshes","DE30",1962315.2646501,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"19","Inland marshes","DE40",132305366.895599,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"20","Inland marshes","DE50",2065921.8284999,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"21","Inland marshes","DE60",1079367.70685,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"22","Inland marshes","DE71",2810578.03475,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"23","Inland marshes","DE72",165240.9375,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"24","Inland marshes","DE73",1325429.2432,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"25","Inland marshes","DE80",253221185.353398,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"26","Inland marshes","DE91",1951805.8419,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"27","Inland marshes","DE92",158515.07875,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"28","Inland marshes","DE93",7422021.0909002,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"29","Inland marshes","DE94",15558181.0976001,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"30","Inland marshes","DEA1",284048.179,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"31","Inland marshes","DEA2",391396.05725,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"32","Inland marshes","DEA3",2862465.2857,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"33","Inland marshes","DEA4",384927.51795,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"34","Inland marshes","DEA5",391357.8478001,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"35","Inland marshes","DEB1",58810.77,2,"DE","Koblenz","Koblenz",0,NA,0,"DEB1"
"36","Inland marshes","DEB2",802795.87385,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"37","Inland marshes","DEB3",4593483.6363499,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"38","Inland marshes","DEC0",910247.387829,2,"DE","Saarland","Saarland",0,NA,0,"DEC0"
"39","Inland marshes","DED2",13300352.07595,2,"DE","Dresden","Dresden",0,NA,0,"DED2"
"40","Inland marshes","DED4",1025050.94205,2,"DE","Chemnitz","Chemnitz",0,NA,0,"DED4"
"41","Inland marshes","DED5",3243043.11895,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"42","Inland marshes","DEE0",21953946.5770001,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"43","Inland marshes","DEF0",56689768.7657993,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"44","Inland marshes","DEG0",4074509.0455,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
"45","Intertidal flats","DE50",496547254.60605,2,"DE","Bremen","Bremen",0,NA,0,"DE50"
"46","Intertidal flats","DE60",405538707.26,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"47","Intertidal flats","DE93",440623355.23285,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"48","Intertidal flats","DE94",1119618975.3193,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"49","Intertidal flats","DEF0",1332200839.0182,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"50","Peatbogs","DE11",60039.3937,2,"DE","Stuttgart","Stuttgart",0,NA,0,"DE11"
"51","Peatbogs","DE12",1061919.9225,2,"DE","Karlsruhe","Karlsruhe",0,NA,0,"DE12"
"52","Peatbogs","DE13",3923886.29905,2,"DE","Freiburg","Freiburg",0,NA,0,"DE13"
"53","Peatbogs","DE14",31077724.0834501,2,"DE","Tübingen","Tübingen",0,NA,0,"DE14"
"54","Peatbogs","DE21",141429738.56655,2,"DE","Oberbayern","Oberbayern",0,NA,0,"DE21"
"55","Peatbogs","DE22",1395527.3561,2,"DE","Niederbayern","Niederbayern",0,NA,0,"DE22"
"56","Peatbogs","DE23",2324107.21625,2,"DE","Oberpfalz","Oberpfalz",0,NA,0,"DE23"
"57","Peatbogs","DE25",497259.5957,2,"DE","Mittelfranken","Mittelfranken",0,NA,0,"DE25"
"58","Peatbogs","DE26",1569837.9055,2,"DE","Unterfranken","Unterfranken",0,NA,0,"DE26"
"59","Peatbogs","DE27",12728945.5926733,2,"DE","Schwaben","Schwaben",0,NA,0,"DE27"
"60","Peatbogs","DE30",195935.3925,2,"DE","Berlin","Berlin",0,NA,0,"DE30"
"61","Peatbogs","DE40",2959333.3413,2,"DE","Brandenburg","Brandenburg",0,NA,0,"DE40"
"62","Peatbogs","DE60",2696887.43425,2,"DE","Hamburg","Hamburg",0,NA,0,"DE60"
"63","Peatbogs","DE71",644264.51655,2,"DE","Darmstadt","Darmstadt",0,NA,0,"DE71"
"64","Peatbogs","DE72",531774.655,2,"DE","Gießen","Gießen",0,NA,0,"DE72"
"65","Peatbogs","DE73",257698.19425,2,"DE","Kassel","Kassel",0,NA,0,"DE73"
"66","Peatbogs","DE80",48492968.45895,2,"DE","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern",0,NA,0,"DE80"
"67","Peatbogs","DE91",17566516.176,2,"DE","Braunschweig","Braunschweig",0,NA,0,"DE91"
"68","Peatbogs","DE92",133914211.10185,2,"DE","Hannover","Hannover",0,NA,0,"DE92"
"69","Peatbogs","DE93",97321408.9885994,2,"DE","Lüneburg","Lüneburg",0,NA,0,"DE93"
"70","Peatbogs","DE94",256840395.239678,2,"DE","Weser-Ems","Weser-Ems",0,NA,0,"DE94"
"71","Peatbogs","DEA1",334604.2717,2,"DE","Düsseldorf","Düsseldorf",0,NA,0,"DEA1"
"72","Peatbogs","DEA2",631457.69095,2,"DE","Köln","Köln",0,NA,0,"DEA2"
"73","Peatbogs","DEA3",3868126.886511,2,"DE","Münster","Münster",0,NA,0,"DEA3"
"74","Peatbogs","DEA4",7172752.87125,2,"DE","Detmold","Detmold",0,NA,0,"DEA4"
"75","Peatbogs","DEA5",283255.0458,2,"DE","Arnsberg","Arnsberg",0,NA,0,"DEA5"
"76","Peatbogs","DEB2",62499.23625,2,"DE","Trier","Trier",0,NA,0,"DEB2"
"77","Peatbogs","DEB3",52109.65405,2,"DE","Rheinhessen-Pfalz","Rheinhessen-Pfalz",0,NA,0,"DEB3"
"78","Peatbogs","DED4",105928.52625,2,"DE","Chemnitz","Chemnitz",0,NA,0,"DED4"
"79","Peatbogs","DED5",1794572.1628,2,"DE","Leipzig","Leipzig",0,NA,0,"DED5"
"80","Peatbogs","DEE0",118545.455,2,"DE","Sachsen-Anhalt","Sachsen-Anhalt",0,NA,0,"DEE0"
"81","Peatbogs","DEF0",84982622.90155,2,"DE","Schleswig-Holstein","Schleswig-Holstein",0,NA,0,"DEF0"
"82","Peatbogs","DEG0",1165095.1383,2,"DE","Thüringen","Thüringen",0,NA,0,"DEG0"
